_id,fatherId,top,left,width,height,color,vote,text,zIndex,locked
SWzX3TLmLaxMzMigP-bulkjsdx,,1483,4339,200,110,#000000,,![](https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/google/263/skull_1f480.png)**x100**,1,
qAtTdQ33if5czFdF5-bulkjsdx,,69,62,200,66,#999999,,"# Attackers
Please upvote all you deem relevant for your organization",1,
uSSonb4HZc8oAEANR,,79,303,200,22,,,# Script Kiddie :skull:,2,
S4ak52Pe98dxK2XY4,,82,527,200,22,,,# Hacktivists :skull::skull:,3,
ZNw3bnMQgovZ8bFS6,,88,762,200,22,,,# Competitors :skull::skull:,4,
u8tk5BBKX5nYdFM4y,,214,309,200,44,,0,# Organized Crime :skull::skull:(:skull:),5,
zyE36JchELp6ZHMxG,,215,535,200,44,,,# Evil Employees :skull::skull::skull:,6,
DzHcKmQbn5WNvgTFd,,217,772,200,22,,,# Nation States :skull:x100,7,
